source,target,Correlation,norm_corr
GBDC,PSDN,0.03785766507252529,-0.36
GBDC,SSSS,-0.202900272785011,-0.786
GBDC,TEK.AX,-0.6846357811684465,-1.638
GBDC,VRNOF,-0.07476004895086737,-0.559
PSDN,GBDC,0.03785766507252529,-0.36
PSDN,SSSS,0.9324642739712914,1.222
PSDN,TEK.AX,0.6420516160395275,0.709
PSDN,VRNOF,0.9787357708371115,1.304
SSSS,GBDC,-0.202900272785011,-0.786
SSSS,PSDN,0.9324642739712914,1.222
SSSS,TEK.AX,0.1052201780938242,-0.241
SSSS,VRNOF,0.8967331763216371,1.159
TEK.AX,GBDC,-0.6846357811684465,-1.638
TEK.AX,PSDN,0.6420516160395275,0.709
TEK.AX,SSSS,0.1052201780938242,-0.241
TEK.AX,VRNOF,-0.21719871537366264,-0.811
VRNOF,GBDC,-0.07476004895086737,-0.559
VRNOF,PSDN,0.9787357708371115,1.304
VRNOF,SSSS,0.8967331763216371,1.159
VRNOF,TEK.AX,-0.21719871537366264,-0.811
