source,target,Correlation
GBDC,POLY.L,0.33082512082563426
GBDC,PSDN,0.5782720336573757
GBDC,SKF.AX,0.15176355555375168
GBDC,SSSS,0.6231776791953634
GBDC,TEK.AX,0.5175573380375922
GBDC,VRNOF,0.23343430461509318
POLY.L,GBDC,0.33082512082563426
POLY.L,PSDN,0.8152383449478098
POLY.L,SKF.AX,0.7733569001449031
POLY.L,SSSS,0.7097937844550429
POLY.L,TEK.AX,0.9062103185957133
POLY.L,VRNOF,0.8542922681544615
PSDN,GBDC,0.5782720336573757
PSDN,POLY.L,0.8152383449478098
PSDN,SKF.AX,0.7852880766968289
PSDN,SSSS,0.9489723483618242
PSDN,TEK.AX,0.9649527878296095
PSDN,VRNOF,0.9650712540855363
SKF.AX,GBDC,0.15176355555375168
SKF.AX,POLY.L,0.7733569001449031
SKF.AX,PSDN,0.7852880766968289
SKF.AX,SSSS,0.46022857478853335
SKF.AX,TEK.AX,0.6839832428550879
SKF.AX,VRNOF,0.8685767003697308
SSSS,GBDC,0.6231776791953634
SSSS,POLY.L,0.7097937844550429
SSSS,PSDN,0.9489723483618242
SSSS,SKF.AX,0.46022857478853335
SSSS,TEK.AX,0.8721464397097004
SSSS,VRNOF,0.6655159817312596
TEK.AX,GBDC,0.5175573380375922
TEK.AX,POLY.L,0.9062103185957133
TEK.AX,PSDN,0.9649527878296095
TEK.AX,SKF.AX,0.6839832428550879
TEK.AX,SSSS,0.8721464397097004
TEK.AX,VRNOF,0.804239667963292
VRNOF,GBDC,0.23343430461509318
VRNOF,POLY.L,0.8542922681544615
VRNOF,PSDN,0.9650712540855363
VRNOF,SKF.AX,0.8685767003697308
VRNOF,SSSS,0.6655159817312596
VRNOF,TEK.AX,0.804239667963292
